T	M
0.050000	1.000000
0.100000	1.000000
0.150000	1.000000
0.200000	1.000000
0.250000	1.000000
0.300000	1.000000
0.350000	1.000000
0.400000	1.000000
0.450000	1.000000
0.500000	1.000000
0.550000	1.000000
0.600000	1.000000
0.650000	1.000000
0.700000	1.000000
0.750000	1.000000
0.800000	1.000000
0.850000	1.000000
0.900000	1.000000
0.950000	1.000000
1.000000	1.000000
1.050000	1.000000
1.100000	1.000000
1.150000	1.000000
1.200000	1.000000
1.250000	1.000000
1.300000	1.000000
1.350000	1.000000
1.400000	1.000000
1.450000	1.000000
1.500000	1.000000
1.550000	1.000000
1.600000	1.000000
1.650000	1.000000
1.700000	1.000000
1.750000	1.000000
1.800000	1.000000
1.850000	0.986111
1.900000	0.986111
1.950000	0.986111
2.000000	0.986111
2.050000	0.986111
2.100000	1.000000
2.150000	1.000000
2.200000	1.000000
2.250000	1.000000
2.300000	1.000000
2.350000	1.000000
2.400000	1.000000
2.450000	0.986111
2.500000	1.000000
2.550000	0.986111
2.600000	0.986111
2.650000	0.986111
2.700000	0.986111
2.750000	0.986111
2.800000	0.986111
2.850000	0.972222
2.900000	0.930556
2.950000	0.930556
3.000000	0.916667
3.050000	0.916667
3.100000	0.944444
3.150000	0.930556
3.200000	0.944444
3.250000	0.958333
3.300000	0.930556
3.350000	0.930556
3.400000	0.930556
3.450000	0.944444
3.500000	0.986111
3.550000	1.000000
3.600000	1.000000
3.650000	0.958333
3.700000	0.972222
3.750000	0.972222
3.800000	0.972222
3.850000	0.944444
3.900000	0.930556
3.950000	0.930556
4.000000	0.902778
4.050000	0.916667
4.100000	0.888889
4.150000	0.902778
4.200000	0.916667
4.250000	0.916667
4.300000	0.902778
4.350000	0.902778
4.400000	0.916667
4.450000	0.930556
4.500000	0.930556
4.550000	0.930556
4.600000	0.875000
4.650000	0.847222
4.700000	0.847222
4.750000	0.847222
4.800000	0.847222
4.850000	0.819444
4.900000	0.847222
4.950000	0.819444
5.000000	0.902778
5.050000	0.847222
5.100000	0.805556
5.150000	0.791667
5.200000	0.750000
5.250000	0.777778
5.300000	0.777778
5.350000	0.722222
5.400000	0.708333
5.450000	0.708333
5.500000	0.680556
5.550000	0.736111
5.600000	0.652778
5.650000	0.638889
5.700000	0.694444
5.750000	0.750000
5.800000	0.722222
5.850000	0.708333
5.900000	0.708333
5.950000	0.805556
6.000000	0.791667
6.050000	0.777778
6.100000	0.777778
6.150000	0.777778
6.200000	0.805556
6.250000	0.750000
6.300000	0.763889
6.350000	0.763889
6.400000	0.819444
6.450000	0.791667
6.500000	0.819444
6.550000	0.819444
6.600000	0.833333
6.650000	0.833333
6.700000	0.819444
6.750000	0.611111
6.800000	0.583333
6.850000	0.541667
6.900000	0.569444
6.950000	0.569444
7.000000	0.625000
7.050000	0.638889
7.100000	0.666667
7.150000	0.569444
7.200000	0.486111
7.250000	0.611111
7.300000	0.611111
7.350000	0.611111
7.400000	0.555556
7.450000	0.513889
7.500000	0.486111
7.550000	0.472222
7.600000	0.388889
7.650000	0.375000
7.700000	0.375000
7.750000	0.472222
7.800000	0.569444
7.850000	0.569444
7.900000	0.388889
7.950000	0.375000
8.000000	0.333333
8.050000	0.305556
8.100000	0.319444
8.150000	0.444444
8.200000	0.486111
8.250000	0.500000
8.300000	0.555556
8.350000	0.638889
8.400000	0.597222
8.450000	0.611111
8.500000	0.541667
8.550000	0.583333
8.600000	0.541667
8.650000	0.597222
8.700000	0.500000
8.750000	0.527778
8.800000	0.555556
8.850000	0.555556
8.900000	0.555556
8.950000	0.625000
9.000000	0.652778
9.050000	0.597222
9.100000	0.541667
9.150000	0.513889
9.200000	0.486111
9.250000	0.416667
9.300000	0.375000
9.350000	0.361111
9.400000	0.333333
9.450000	0.291667
9.500000	0.333333
9.550000	0.250000
9.600000	0.319444
9.650000	0.319444
9.700000	0.194444
9.750000	0.263889
9.800000	0.263889
9.850000	0.222222
9.900000	0.319444
9.950000	0.361111
10.000000	0.166667
10.050000	0.250000
10.100000	0.305556
10.150000	0.375000
10.200000	0.277778
10.250000	0.333333
10.300000	0.319444
10.350000	0.180556
10.400000	0.194444
10.450000	0.236111
10.500000	0.194444
